Year,Exporting country,Importing country,Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),description,Product category,hs4,hs2
2019,Fiji,Tuvalu,"Mineral fuels, mineral oils and products of their distillation",12.734,11.0,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Fiji,Tuvalu,"Mineral fuels, mineral oils and products of their distillation",0.013,0.038,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bituminous mastics, cut-backs)",271500,2715,27
2019,Fiji,USA,"Mineral fuels, mineral oils and products of their distillation",483.083,865.53,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Wallis and Futuna Isds,"Mineral fuels, mineral oils and products of their distillation",6050.8,11003.885,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Wallis and Futuna Isds,"Mineral fuels, mineral oils and products of their distillation",0.051,0.101,"Petroleum gases and other gaseous hydrocarbons: liquefied, butanes",271113,2711,27
2019,Fiji,Wallis and Futuna Isds,"Mineral fuels, mineral oils and products of their distillation",136.832,144.0,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Fiji,Samoa,"Mineral fuels, mineral oils and products of their distillation",807.938,1506.867,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Samoa,"Mineral fuels, mineral oils and products of their distillation",14.192,23.225,"Petroleum gases and other gaseous hydrocarbons: liquefied, butanes",271113,2711,27
2019,Fiji,Samoa,"Mineral fuels, mineral oils and products of their distillation",668.128,750.76,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Kiribati,Fiji,"Mineral fuels, mineral oils and products of their distillation",0.228,0.001,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Nauru,Canada,"Mineral fuels, mineral oils and products of their distillation",0.01,0.003,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Nauru,Czechia,"Mineral fuels, mineral oils and products of their distillation",27.039,39.28,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Nauru,Fiji,"Mineral fuels, mineral oils and products of their distillation",0.064,,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Vanuatu,Fiji,"Mineral fuels, mineral oils and products of their distillation",11.72,0.97,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Vanuatu,Netherlands,"Mineral fuels, mineral oils and products of their distillation",0.031,0.001,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Niue,Thailand,"Mineral fuels, mineral oils and products of their distillation",0.727,0.01,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,FS Micronesia,Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",13.204,61.356,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,FS Micronesia,New Zealand,"Mineral fuels, mineral oils and products of their distillation",18.742,72.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Marshall Isds,Ecuador,"Mineral fuels, mineral oils and products of their distillation",20531.346,31330.8,"Aromatic hydrocarbon mixtures: n.e.c. in heading no. 2707, of which 65% or more by volume (including losses) distils at 250 degrees Celsius by the ISO 3405 method (equivalent to the ASTM D 86 method)",270750,2707,27
2019,Marshall Isds,Greece,"Mineral fuels, mineral oils and products of their distillation",4.541,0.585,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Marshall Isds,Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",1293.436,3008.841,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Marshall Isds,Nicaragua,"Mineral fuels, mineral oils and products of their distillation",3462.214,5062.54,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Marshall Isds,Portugal,"Mineral fuels, mineral oils and products of their distillation",0.36,87.84,Residues: of petroleum oils or of oils obtained from bituminous minerals,271390,2713,27
2019,Marshall Isds,India,"Mineral fuels, mineral oils and products of their distillation",2.055,50.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Marshall Isds,South Africa,"Mineral fuels, mineral oils and products of their distillation",5.701,196.7,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Marshall Isds,Spain,"Mineral fuels, mineral oils and products of their distillation",0.13,0.35,Residues: of petroleum oils or of oils obtained from bituminous minerals,271390,2713,27
2019,Marshall Isds,USA,"Mineral fuels, mineral oils and products of their distillation",57.847,855.42,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Palau,Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",43.662,38.194,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Palau,India,"Mineral fuels, mineral oils and products of their distillation",1.855,71.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Palau,South Africa,"Mineral fuels, mineral oils and products of their distillation",0.167,14.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Australia,"Mineral fuels, mineral oils and products of their distillation",226510.632,588715.0,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Papua New Guinea,Australia,"Mineral fuels, mineral oils and products of their distillation",271.206,177.682,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
